name,id,rarity,type,extraTypes,shop,price,staminaCost,minDam,maxDam,cd,accuracy,chance,chance2,shopChance,block,p1,p2,p3,p4,p5,material,canActivate,recipes,gateItem,tags,gain,use,remove,threshold,weight,p6,p7,p8,p9,p10,appropriated,demo,earliestRound,latestRound,requires,version,animation,physics,textEffect,class_override
Black Rook,320,Epic,Chess Piece,,no,5,,,,,,,,,,3:spikes,35:crit,3:dur,,,Wood,,,Chess Board,,Spikes,,,,,,,,,,,,,,,1.0.0,,,,
White Queen,321,Legendary,Chess Piece,,no,9,,,,,,,,,,8:heat1,1.3:dur,2:heat2,,,Wood,,,Chess Board,,Heat,,,,,,,,,,,,,,,1.0.0,,,,
Black Queen,322,Legendary,Chess Piece,,no,9,,,,,,,,,,4:buffs,1.3:dur,,,,Wood,,,Chess Board,,Buff,,Buff,,,,,,,,,,,,,1.0.0,,,,
White King,323,Godly,Chess Piece,,no,5,,,,,,,,,,1:empower,2:buffs,,,,Wood,,,Chess Board,,Buff,,,,,,,,,,,,,,,1.0.0,,,,
Black King,324,Godly,Chess Piece,,no,5,,,,,,,,,,5:speed,2:buffs,,,,Wood,,,Chess Board,,,,Buff,,,,,,,,,,,,,1.0.0,,,,
Wand,422,Common,Accessory,Magic,Mage,4,,,,3.3,,,,,,10:manat,10:luckt,10:regent,1:empower,1:use,Wood,,"Rainbow Orb>Prismatic Wand,Book of Darkness>Wand of Dissonance",,,"Lucky,Mana,Regeneration,Empower","Lucky,Mana,Regeneration",,,,,,,,,,,,,,1.0.0,Wave,,,
Book of Basics,435,Common,Book,Magic,Mage,4,,,,5,,,,10,,1:manat,8:maxhealth,3:maxhealth_spell,,,Paper,,,,,,Mana,,3,,,,,,,,,,,,1.0.0,VerySquishyJump,,,
Cupcake,339,Legendary,Food,Magic,Mage,5,,,,6,,,,,,10:heal,2:buffs,,,,Squishy,,,,,Buff,,,3,,,,,,,,,,,,1.0.0,VerySquishyJump,,,
Spell Scroll Ice,325,Legendary,Spell,"Ice,Magic",Mage,5,,,,,,30,,,2,1:cold,7:max,,,,Paper,,Spell Scroll Light>Magic Mirror,Frozen Flame,,Cold,,,,,,,,,,,,,,,1.0.0,VerySquishyJump,,,Mage
Spell Scroll Nature,326,Rare,Spell,"Nature,Magic",Mage,5,,,,,,,,,,4:staminat,1:mana,1:stamina,,,Paper,,"Spell Scroll Ice>Ice Flower,Spell Scroll Light>Light Flower,Spell Scroll Dark>Death Lotus",,,,Mana,,,,,,,,,,,,,,1.0.0,VerySquishyJump,,,
Spell Scroll Light,327,Epic,Spell,"Holy,Magic",Mage,5,,,,2.4,,,,,,8:heal,,,10:speed,,Paper,,Spell Scroll Dark>Null Blade,,,,,Debuff,,,,,,,,,,,,,1.0.0,VerySquishyJump,,,
Spell Scroll Dark,328,Godly,Spell,"Dark,Magic",Mage,5,,,,3,,,,,,10:speed,15:speed_dark,10:max,,,Paper,,Spell Scroll Ice>Devouring Sphere,,,Blind,,,,,,,,,,,,,,,1.0.0,VerySquishyJump,,,
Book of Nature,329,Epic,Book,"Nature,Magic",Mage,6,,,,2.3,,,,,,1:regen,1:luck,2:spikes,10:speed,,Paper,,,,,"Spikes,Lucky",Regeneration,,3,,,,,,,,,,,,1.0.0,VerySquishyJump,,,
Book of Darkness,330,Legendary,Book,"Dark,Magic",Mage,6,,,,2.6,,,,,,8:health,3:mana,1:blind,10:speed,,Paper,,,,,"Mana,Blind",,,3,,,,,,,,,,,,1.0.0,VerySquishyJump,,,
Book of Light,57,Godly,Book,"Holy,Magic",Mage,6,,,,3,,,,,,1:mana,1:regen,12:heal,10:speed,,Paper,,,,,Regeneration,Mana,,3,,,,,,,,,,,,1.0.0,VerySquishyJump,,,
Book of Ice,179,Rare,Book,"Ice,Magic",Mage,6,,,,2.8,,,,,,1:mana,2:cold,,10:speed,,Paper,,,Frozen Flame,,Cold,Mana,,3,,,,,,,,,,,,1.0.0,VerySquishyJump,,,Mage
Book of Ice New,331,Rare,Book,"Ice,Magic",no,6,,,,3,,,,,,1:mana,2:cold,,10:speed,,Paper,,,,,Cold,Mana,,,,,,,,,,nooo,,,,10.0.0,VerySquishyJump,,,
Magic Mirror,332,Godly,Spell,"Holy,Ice,Magic",no,10,,,,6,,20,2,,,20:buffs,20:max,,,,Ice,,,Frozen Flame,,Buff,,,,,,,,,,,,,,,1.0.0,,Ice,,Mage
Ice Flower,333,Godly,Spell,"Nature,Ice,Magic",no,10,,,,,,30:cold,50:mana,,17,1:manat,3:cold,1:mana,,,Ice,no,,Frozen Flame,,"Mana,Cold",Mana,,,,,,,,,,,,,,1.0.0,,Light,,Mage
Light Flower,334,Legendary,Spell,"Food,Holy,Nature,Magic",no,10,,,,2,,20:base,5:light,,,1:manat,3:debuffs,1:luck,1:regen,,,,,,,"Lucky,Regeneration",Mana,Debuff,,,,,,,,,,,,,1.0.0,VerySquishyJump,Light,,
Death Lotus,335,Godly,Spell,"Dark,Nature,Magic",no,10,,,,3,,,,,,4:mana,3:buffs,1:luckt,10:speed,1.5:stamina,,,,,,Mana,Lucky,Buff,,,,,,,,,,,,,1.0.0,VerySquishyJump,Light,,
Null Blade,348,Godly,Melee Weapon,"Dark,Holy,Spell,Magic",no,10,1,10,12,1.7,90,,,,,1:luckt,2:dam,1:regent,3:buffs,5:speed,,,,,,,"Lucky,Regeneration",Buff,,,,,,,,,,,,,1.0.0,Slash,BlackHole,,
Devouring Sphere,420,Godly,Spell,"Dark,Ice,Magic,Vampiric",no,10,,,,1.4,,,,,,1:vampirism,100:lifesteal,1:speed_cold,2:speed_blind,10:dam,,,,Frozen Flame,Lifesteal,Vampirism,,,,,,,,,,,,,,,1.0.0,Spin,BlackHole,,Mage
Cat Spirit,336,Legendary,Pet,Magic,Mage,5,,,,2.4,,25:crit,,,,1:manat,1:luck,1:empower,,,,,,,,"Empower,Lucky",Mana,,,,,,,,,,,,,,1.0.0,VerySquishyJump,Ghost,,
Owl Spirit,337,Legendary,Pet,Magic,Mage,5,,,,3.2,,17:duplicate,,,,1:manat,2:mana,8:fatiguemana,,,,,,,,Mana,Mana,,,,,,,,,,,,,,1.0.0,VerySquishyJump,Ghost,,
Badger Spirit,338,Legendary,Pet,Magic,Mage,5,,,,5,,,,,,50:healtht,20:heal,1:manat,20:maxhealth,2:maxhealth_bonus,,,,,,,Mana,,,,,,,,,,,,,,1.0.0,VerySquishyJump,Ghost,,
Prismatic Wand,436,Godly,Accessory,"Magic,Vampiric,Holy,Dark",no,18,,,,4.5,,,,,,20:manat,20:luckt,20:regent,5:empower,5:use,Wood,,,,,Buff,"Lucky,Mana,Regeneration",,,,,,,,,,,,,,1.0.0,Wave,,Rainbow,
Cupcake Goobert,340,Legendary,Pet,Magic,no,11,,,,,,,,,,6:activations,35:heal,2:buffs,,,Slime,,Light Goobert+Steel Goobert+Blood Goobert>Rainbow Goobert Mage,,,Buff,,,,,,,,,,,,,,,1.0.0,Squish,Slime,,
Rainbow Goobert Mage,416,Godly,Pet,"Magic, Vampiric, Holy",no,53,,,,,,,,,20,9:activations,40:heal,2:vampirism,2:buffs,3:blind,Slime,,,,,"Buff,Blind",,,,,4:dambonus,,,,,,,,,,1.0.0,Squish,Slime,Rainbow,
Cupcake Staff,349,Legendary,Ranged Weapon,Magic,no,15,1,6,8,1.8,90,,,,,3:manat,4:buffs,0.2:dam,,,Wood,,,,Staff,Buff,Mana,,,,,,,,,,,,,,1.0.0,Wave,,,
Mage Hat,341,Epic,Helmet,Magic,Mage,5,,,,,,,,,10,4:mana,10:damreduction,,,,Leather,,,,,Mana,,,,,,,,,,,,,,,1.0.0,VerySquishyJump,Floaty,,
Puzzlebag L,404,Common,Bag,,no,5,,,,,,,,,,20:healamp,7:maxhealth,,,,Leather,,,Puzzlebox,,,,,,,,,,,,Puzzle Badge,,,,,1.0.0,,,,
Puzzlebag S,405,Rare,Bag,,no,5,,,,,,20:buffs,,,,,,,,,Leather,,,Puzzlebox,,,,,,,,,,,,Puzzle Badge,,,,,1.0.0,,,,
Puzzlebag Z,406,Epic,Bag,,no,5,,,,,,25:debuffs,,,,,,,,,Leather,,,Puzzlebox,,,,,,,,,,,,Puzzle Badge,,,,,1.0.0,,,,
Puzzlebag T,407,Legendary,Bag,,no,5,,,,,,,,,,25:buff,,,,,Leather,,,Puzzlebox,,Buff,,,,,,,,,,Puzzle Badge,,,,,1.0.0,,,,
Puzzlebag J,408,Godly,Bag,,no,5,,,,,,,,,,30:bonusdur,,,,,Leather,,,Puzzlebox,,,,,,,,,,,,Puzzle Badge,,,,,1.0.0,,,,
Shiny Mantle,342,Unique,Armor,"Holy,Magic",Mage>Shiny Chariot,10,,,,5.5,,,,,,1.0:dur_base,0.2:dur_bonus,10:gold,3:blind,3:manat,Leather,,,,,Blind,Mana,,,,3:mana,3:max,,,,,,,,,1.0.0,SquishyJump,Floaty,Gold,
Spirit Bells,343,Unique,Accessory,Magic,Mage>Spectromancer,10,,,,8,,,,,,30:damreduction,2:dur_base,1:dur_bonus,30:buffs,,,,,,,Buff,,,,,,,,,,,,,,,1.0.0,SquishyJump,,,
Water Elemental,344,Unique,Ranged Weapon,"Ice,Magic,Pet,Effect",Mage>Waterbender,10,0,5,10,2.8,95,10,,,,2:mana,2:mana2,10:speed,10:heal,15:dam,,,,,,"Cold,Mana",,,,,10:manat1,20:manat2,30:manat3,3:cold,,,,,,,1.0.0,VerySquishyJump,,Water,
Evil Hat,345,Unique,Pet,"Helmet,Dark,Magic",Mage>Battle Mage,10,,,,3,,75:regen,4:crit,,,5:buffs,5:buffs2,1:regen,15:unhealing,4:unhealing2,Leather,,,,,Buff,,,,,,,,,,,,,,,1.0.0,VerySquishyJump,Floaty,,
Rainbow Potion,346,Unique,Potion,Magic,Mage>Magical Girl,10,,,,,,,,20,,1:mana,1:stamina,6:buffs,20:buffst,2:potions,Glass,,,,,Buff,,,,,,,,,,,,,,,1.0.0,,,Rainbow,
Bag of Giving,368,Unique,Bag,,Adventurer,16,,,,,,,,,,0.1:stamina,1.32:value,,,,Leather,,,,,,,,,,,,,,,,,,,,1.0.0,,,,
Sewing Case,410,Unique,Bag,,Adventurer,16,,,,,,15:buffs,,70:restock,,15:speed,,,,,Leather,,,,,,,,,,,,,,,,,,,,1.0.0,,,,
Twine,380,Common,Accessory,,Adventurer,2,,,,,,20,20,,,2:health,,,,,Leather,,"Twine>Rope,Wooden Sword+Banana>Boomerang,Piggybank+Box of Riches>Piggy of Riches,Greatsword+Bloodthorne>Big Bloodthorne,Goobert+Ruby Whelp>Dragon Knight,Shield of Valor+Heart Container>Heart Shield,Lightsaber+Fancy Fencing Rapier>Scissorswords,Spear+Spear>Long Spear,Magic Staff+Jynx torquilla>Jynx Staff,Wooden Buckler+Whetstone>Hero Shield,Leather Armor+Customer Card>Employee Uniform",,,,,,,,,,,,,,,,,,1.0.0,SquishyJump,,,
Rope,381,Rare,Accessory,,no,4,,,,,,,,,,10:speed,6:dur,50:max,,,Leather,no,,,,,,,,,,,,,,,,,,,1.0.0,VerySquishyJump,,,
Hero Shield,434,Rare,Shield,,no,10,,,,,,30,,,,15:damblock,0.4:stamina,2:dam,15:damfactor,,Metal,,,,,,,,,,,,,,,,,,,,1.0.0,Block,,Steel,
Boomerang,395,Rare,Ranged Weapon,,no,8,1.5,3,4,2,90,50,,,,20:stamina,,,,,Wood,,Dagger>Daggerang,,,Buff,,Buff,,,,,,,,,,,,,1.0.0,Throw,,,
Piggy of Riches,396,Epic,Accessory,,no,10,,,,,,,,50,,4:maxhealth,,,,,Metal,,,,,,,,,,,,,,,,,,,,1.0.0,VerySquishyJump,,,
Employee Uniform,433,Epic,Armor,,no,13,,,,,,,,35:trade,70,6:resist,,,,,Leather,,,,,,,,,,,,,,,,,,,,1.0.0,SquishyJump,,,
Big Bloodthorne,394,Godly,Melee Weapon,"Vampiric, Nature",no,31,5,40,50,5,90,,,,,5:empowert,2:stamina,2:cd,3:regent,6:vampirism,Metal,,,,,"Vampirism,Spikes",Regeneration,,,,6:spikes,2:dam,,,,,,,,,1.0.0,Slash,VeryDense,,
Heart Shield,397,Godly,Shield,Holy,no,24,,,,,,30,30:regenamp,,,17:damblock,0.7:stamina,30:block,30:healamp,1:regen,Metal,,,,,Regeneration,Regeneration,,,,20:max_regen,7:regent,150:maxhealth,,,,,,,,1.0.0,Block,,,
Dragon Knight,398,Godly,Ranged Weapon,"Fire,Pet,Effect",no,18,0,5,10,2.1,90,,,,,5:heat,4:reflect,8:heal,15:advance,,Slime,,,,Dragon,Heat,,,,,,,,,,,,,,,1.0.0,VerySquishyJump,,,
Broccoli,399,Rare,Food,Nature,Adventurer,4,,,,6,,,,,,2:luck,5:luckt,2:regen,,,Squishy,,Heroic Potion>Broccotree,,,"Lucky,Regeneration",,,,,,,,,,,,,,,1.0.0,VerySquishyJump,,,
Lootbox,432,Epic,Accessory,,Adventurer,7,,,,,,,,25,,10:gold,,,,,Metal,,,,Transient,,,,,,,,,,,,,,,,1.0.0,,,Gold,
Broccoli Goobert,400,Epic,Pet,Nature,no,10,,,,,,,,,,6:activations,3:luck,5:luckt,3:regen,,Slime,,Light Goobert+Steel Goobert+Blood Goobert>Rainbow Goobert Adventurer,,,"Lucky,Regeneration",,,,,,,,,,,,,,,1.0.0,Squish,Slime,,
Rainbow Goobert Adventurer,401,Godly,Pet,"Vampiric, Nature, Holy",no,52,,,,,,,,,20,9:activations,40:heal,2:vampirism,2:regen,3:blind,Slime,,,,,"Regeneration,Vampirism,Blind",,,,,4:dambonus,,,,,,,,,,1.0.0,Squish,Slime,Rainbow,
Scissorswords,402,Godly,Melee Weapon,Holy,no,23,1,14,20,1.4,100,,,,,3:regent,1:dam_blind,10:blind,5:dur_blind,3:luckt,Metal,,,,,"Lucky,Regeneration,Blind","Lucky,Regeneration",,,,3:dam,5:luck,1:regen,,,,,,,,1.0.0,Slash,,,
Long Spear,417,Epic,Melee Weapon,,no,14,1.5,6,12,1.5,85,,,,,12:block,5:dam,,,,Metal,,,,,,,Block,,,,,,,,,,,,,1.0.0,Stab,,,
Daggerang,418,Epic,Ranged Weapon,,no,12,1.5,4,5,2,90,70:steal,,,,20:stamina,,,,,Metal,,,,,Buff,,Buff,,,,,,,,,,,,,1.0.0,Throw,,,
Jynx Staff,419,Godly,Ranged Weapon,"Pet,Magic,Musical",no,18,1,12,14,1.8,90,,,,,3:manat,2:dam,10:speed,10:max,2:luck,Bird,,,,Staff,,Mana,Lucky,,,,,,,,,,,,,1.0.0,Wave,,,
Fedora,375,Unique,Helmet,,Adventurer>Archaeologist,10,,,,2.8,,,,,,60:uniques,3:uniquest,1:luck,3:luck2,1:luckt,Leather,,,,,Buff,Lucky,Buff,,,2:buffs,25:chance,,,,,,,,,1.0.0,VerySquishyJump,Floaty,,
Scale,376,Unique,Accessory,,Adventurer>Merchant,10,,,,2.8,,,,40:trade,,4:mana,3:regen,2:speed,5:gold,30:speed2,Metal,,,,,"Mana,Regeneration",,,,,,,,,,,,,,,1.0.0,,,,
Mercury Elemental,377,Unique,Pet,,Adventurer>Weaponmaster,10,,,,5,,,,,50,1:stamina,1:staminat,2:poison,2:poison2,,Metal,,,,,Poison,,,,,,,,,,,,,,,1.0.0,VerySquishyJump,,Mercury,
Turtle,378,Unique,Pet,Nature,Adventurer>Shieldmaster,10,,,,13,,,,,60,35:damreduction,100:bonus_damblock,7:dur,20:block2,,Stone,,,,,,,,,,,,,,,,,,,,1.0.0,,BouncyDense,,
Ukulele,379,Unique,Accessory,Musical,Adventurer>Bard,10,,,,6,,15:duplicate,,,,20:healamp,30:heal,5:buffs,4:cold,10:speed,Wood,,,,,"Buff,Cold",,,,,20:advance,,,,,,,,,,1.0.0,SquishyJump,,,
Engineer Box,440,Unique,Bag,,Engineer,16,,,,,,,,,,5:delay,150:speed,,,,Metal,,,,,,,,,,,,,,,,,,,,1.1.0,,,Lightning,
Engineer Bag 2,441,Unique,Bag,,Engineer,18,,,,,,,,,,,,,,,Metal,,,,,,,,,,,,,,,,,,,,1.1.0,,,,
Battery,442,Common,Accessory,,Engineer,2,,,,,,,,,,2:dur,10:speed,5:speed2,,,Metal,,,,,,,,,,,,,,,,,,,,1.1.0,Stab,Dense,Lightning,
Resistor,443,Rare,Accessory,Fire,Engineer,2,,,,,,,,,,20:heatt,3:heat,,,,Metal,no,Stone+Pestilence Flask>Poison Grenade,,,Heat,,,,,,,,,,,,,,,1.1.0,,,,
Cog,444,Rare,Accessory,,Engineer,2,,,,,,,,,5,,,,,,Metal,,,,,,,,,,,,,,,,,,,,1.1.0,Spin,Dense,,
Coil,445,Epic,Accessory,,Engineer,3,,,,,,,,,,2:buffs,10:max,,,,Metal,no,,,,Buff,,Buff,,,,,,,,,,,,,1.1.0,,,,
Charge Splitter,446,Epic,Accessory,,Engineer,4,,,,5,,10:duplicate,5:pertile,,30,3:heatt,5:luck,2:dur,,,Metal,,,,,Lucky,Heat,,,,,,,,,,,,,,1.1.0,,Dense,Lightning,
Slice of Bread,466,Rare,Food,,Engineer,2,,,,5,,,,,,2.5:staminat,0.5:stamina,,,,Squishy,,Fire*>Slice of Toast,,,,,,,,,,,,,,,,,,1.1.0,,Light,,
Slice of Toast,467,Epic,Food,,no,2,,,,5,,,,,,2.5:staminat,0.5:stamina,1:regen,,,Squishy,,,,,Regeneration,,,,,,,,,,,,,,,1.1.0,,Light,,
Toast Goobert,468,Legendary,Pet,,no,8,,,,,,,,,,6:activations,2.5:staminat,1.5:stamina,3:regen,,Slime,,Light Goobert+Steel Goobert+Blood Goobert>Rainbow Goobert Engineer,,,Regeneration,,,,,,,,,,,,,,,1.1.0,Squish,Slime,,
Rainbow Goobert Engineer,469,Godly,Pet,"Vampiric, Holy",no,50,,,,,,,,,20,9:activations,40:heal,2:vampirism,1:regen,3:blind,Slime,,,,,"Regeneration,Vampirism,Blind",,,,,2:stamina,4:dambonus,,,,,,,,,1.1.0,Squish,Slime,Rainbow,
Wrench,447,Epic,Melee Weapon,,no,9,1,3,7,2.2,85,10:duplicate,10:crit,,,10:block,,,,,Metal,,,,,,,,,,,,,,,,,,,,1.1.0,Slash,Dense,,
Electric Torch,448,Epic,Accessory,,no,8,,,,5,,,,,,8:blind,7:dur_blind,40:speed,,,Metal,,,,,Blind,,,,,,,,,,,,,,,1.1.0,Slash,,,
Robodog,449,Legendary,Pet,Fire,no,10,,,,1.9,,,,,,1:luck,1:heat,0.5:cdincrease,1.9:basecd,,Metal,,,,,"Lucky,Heat",,,,,,,,,,,,,,,1.1.0,,BouncyDense,,
Mecha Bat,450,Legendary,Pet,Vampiric,no,10,1.5,,,3,,,,,,3:vampirism,10:luckt,1:luck,3:vampirism2,22:lifesteal,Metal,,,,,Vampirism,Lucky,,,,,,,,,,,,,,1.1.0,,Floaty,,
Bazooka,470,Godly,Ranged Weapon,,no,10,1,1,40,3,50,20:stunresist,,,25,1:heatt,2:luck,10:luckt,0.6:dur_stun,0.4:dur_stunself,Metal,,,,,Lucky,Heat,,,,5:max,,,,,,,,,,1.1.0,Shoot,Dense,,
Lightning Staff,471,Legendary,Ranged Weapon,Magic,no,12,0.8,12,14,1.6,90,,,,,3:manat,2:dam,3:num,1.5:dur,6:dam_flat,Metal,,,,Staff,,Mana,,,,2:dam_tile,,,,,,,,,,1.1.0,Wave,,Lightning,
Generator,472,Rare,Accessory,,no,6,0.8,,,4.5,,,,,,2:dur,10:speed,5:speed2,,,Metal,,,,,,,,,,,,,,,,,,,,1.1.0,Stab,,Lightning,
Chainsaw,473,Legendary,Melee Weapon,,no,10,0.7,8,10,1.2,90,,,,,5:buffs,5:slow,,,,Metal,,,,,Buff,,Buff,,,,,,,,,,,,,1.1.0,Slash,Dense,,
Poison Grenade,474,Legendary,Accessory,,no,10,,,,10,,30:poisoncrit,,,,20:poison,12:poison2,1:cdadvance,5:luckt,,Metal,,,,,Poison,,,,,,,,,,,,,,,1.1.0,Throw,Slime,Poison,
Con-Trap-Tron,475,Godly,Accessory,,no,8,,,,,,50:duplicate,10:pertile,,,10:speed,70:healtht,2:cdadvance_base,3:cdadvance_bonus,2:dur,Metal,,,,,,,,,,,,,,,,,,,,1.1.0,,,,
Spring Loader,476,Legendary,Accessory,,no,7,,,,7.5,,,,,,10:speed,2:cdadvance,35:speed2,,,Metal,,,,,,,,,,,,,,,,,,,,1.1.0,,Slime,Spring,
Eat-o-matic,477,Godly,Accessory,,no,6,,,,,,,,,,100:speed,150:speed2,75:speed3,,,Metal,no,,,,,,,,,,,,,,,,,,,1.1.0,,,,
Thunder Drake,516,Godly,Ranged Weapon,"Pet,Fire,Effect",no,12,0,5,10,2.1,90,,,,,3:hits,2:dur,20:speed,,,Dragon,,,,Dragon,,,,,,,,,,,,,,,,1.1.0,SquishyJump,,Lightning,
Tesla Coil,451,Unique,Accessory,,Engineer>Electrician,10,,,,5.5,,,,,,3:cdadvance,80:sales,1.5:weight,,,Metal,,,,,,,,,,,,,,,,,,,,1.1.0,,,Lightning,
Mana Crystal,452,Unique,Accessory,Magic,Engineer>Artificer,10,,,,5.5,,,,,,2:dur,1:mana1,2:mana2,,,Metal,,,,,Mana,,,,,,,,,,,,,,,1.1.0,,Ghost,Lightning,
Bionic Armor,453,Unique,Armor,,Engineer>Power Pilot,10,,,,3,,,,,100,100:staminaregen,10:healtht,0.2:maxstamina,5:staminat1,30:block,Metal,,,,,Empower,,,,,1:staminat2,3:empower,,,,,,,,,1.1.0,,VeryDense,,
Laboratory,454,Unique,Accessory,,Engineer>Chemist,10,,,,"2,4,6,8,12",,,,,,,,,,,Glass,,,,,"Heat,Spikes,Regeneration,Vampirism,Empower","Heat,Spikes,Regeneration,Vampirism,Lucky",,,,,,,,,,,,,,1.1.0,,,,
Hypercube,455,Unique,Accessory,,Engineer>Materials Scientist,10,,,,,,,,,,,,,,,Metal,,,,,,,,,,,,,,,,,,,,1.1.0,,,,
Gold Cube,456,Unique,Accessory,,no,2,,,,,,,,,,50:healtht,2:cdadvance,30:heal,4:heal_regen,80:penalty,Metal,,,Hypercube,,,,,,,,,,,,,,,,,1.1.0,,VeryDense,Gold,
Bismuth Cube,457,Unique,Accessory,,no,2,,,,,,,,,,7:buffs,0.3:cdadvance,10:max,,80:penalty,Metal,,,Hypercube,,Buff,,,,,,,,,,,,,,,1.1.0,,,Rainbow,
Chrome Cube,458,Unique,Accessory,,no,2,,,,,,,,,,50:healtht,2:cdadvance,35:healreduction,,80:penalty,Metal,,,Hypercube,,,,,,,,,,,,,,,,,1.1.0,,,,
Plastic Cube,459,Unique,Accessory,,no,2,,,,8,,,,,,75:cdadvance,10:spikes,,,80:penalty,,,,Hypercube,,Spikes,,,,,,,,,,,,,,,1.1.0,,Light,,
Cap of Brilliance,460,Legendary,Helmet,Magic,no,7,,,,,,20,15:mana,,,25:damagereduction,4:dur,2:mana,,,Leather,,,,,Mana,,,,,,,,,,,,,,,1.1.0,,,,
Magitecc Armor,461,Godly,Armor,"Magic,Holy",no,12,,,,2.2,,,,,65,2:regen,2:cleanse,4:manat,30:block,10:speed,Leather,,Cap of Brilliance+Arcane Boots+Thors Hammer>Automanaton,,,,Mana,Debuff,,,,,,,,,,,,,1.1.0,,Dense,,
Arcane Boots,462,Legendary,Shoes,Magic,no,6,,,,,,,,,30,70:healtht,3:luck,2:empower,2:manat,30:speed,Leather,,,,,"Lucky,Empower",Mana,,,,3:dur_speed,,,,,,,,,,1.1.0,,,,
Thors Hammer,463,Epic,Melee Weapon,Magic,no,8,3,10,13,2,90,50:stun,,,,0.5:dur_stun,2:manat,12:dam,5:blind,2:dur_blind,Metal,,,,,Blind,Mana,,,,,,,,,,,,,,1.1.0,Bonk,Dense,,
Automanaton,464,Godly,Melee Weapon,"Magic,Holy,Pet,Effect",no,33,0,10,13,2,75,45:stun,30:mana,,200,4:manat,0.5:dur_stun,5:blind,2:dur_blind,4:cleanse,,,,,,Blind,Mana,Debuff,,,70:healtht,25:dmgreduction,6:dur_dmgreduction,30:speed,,,,,,,1.1.0,,Dense,,
Mananana,465,Rare,Food,Magic,no,3,,,,5,,,,,,2:manat,10:heal,2:stamina,,,Squishy,,,,,,Mana,,,,,,,,,,,,,,1.1.0,,Light,,
Gigawatz,478,Unique,Skill,,Engineer 1,5,,10,10,7.5,,,,,,3:blind,7:damincrease,15:speed,10:max,,Paper,,,,,Blind,,,,,,,,,,,,,,,1.1.0,VerySquishyJump,,Lightning,
Perpetuum Mobile,479,Unique,Skill,,Engineer 2,5,,,,8,,,,,,2:stamina,30:refund_buffs,30:refund_stamina,30:speed,,Paper,,,,,Buff,,,,,,,,,,,,,,,1.1.0,VerySquishyJump,,,
Critical Poison,480,Unique,Skill,,"Ranger,Reaper 1",5,,,,,,5:crit,,,,5:damt,1:poison,,,,Paper,no,,,,Poison,,,,,,,,,,,no,,,,1.1.0,VerySquishyJump,,Poison,
Burning Spikes,481,Unique,Skill,,"Pyromancer,Berserker 1",5,,,,,,,,,,5:spikes,3:heat,5:spikest,2:heat2,,Paper,,,,,"Heat,Spikes",,,,,,,,,,,no,,,,1.1.0,VerySquishyJump,,,
Hogus Bogus,482,Unique,Skill,,"Mage,Adventurer 1",5,,,,"3,6,9",,,,,,8:stamina,3:buffs,1:dur_stun,0.5:dur_self_stun,40:heal,Paper,,,,,Buff,,,,,,,,,,,no,,,,1.1.0,VerySquishyJump,,,
Spin to Win,483,Unique,Skill,,"Adventurer,Engineer 1",5,,,,3.8,,,,,,2:heat,3:luck,3:regen,4:mana,,Paper,,,,,"Lucky,Heat,Mana,Regeneration",,,,,,,,,,,no,,,,1.1.0,VerySquishyJump,,,
Energy Conversion,484,Unique,Skill,,"Pyromancer,Engineer 1",5,0.7,,,4.5,,,,,,4:heat,20:heatt,5:buffs,25:speed,,Paper,,,,,Buff,,,,,,,,,,,no,,,,1.1.0,VerySquishyJump,,,
Inner Power,485,Unique,Skill,,"Ranger,Berserker 1",5,,,,,,,,,,2:luck,1:empower,2:healamp,100:max1,2:speed,Paper,,,,,"Lucky,Empower",,,,,100:max2,,,,,,no,,,,1.1.0,VerySquishyJump,,,
Bewitchment,486,Unique,Skill,,"Reaper,Mage 1",5,,,,3,,10,,,,1:manat,4:debuffs,2:poison,1:blind,1:cold,Paper,,,,,Debuff,Mana,,,,,,,,,,no,,,,1.1.0,VerySquishyJump,,,
Chess Master,492,Unique,Skill,,Mage 1,5,,,,,,,,,,40:speed,,,,,Paper,,,,,,,,,2,,,,,,,no,,,Chess Board,1.1.0,VerySquishyJump,,,
Speak with Animals,493,Unique,Skill,,Neutral 1,5,,,,3,,10:trigger,,30:pet,,25:sale,,,,,Paper,,,,,,,,,,,,,,,,no,,,,1.1.0,VerySquishyJump,,,
Seal the Deal,494,Unique,Skill,,Neutral 1,5,,,,5.2,,,,30:trade,,1:gold,2:regent,3:vamp,2:luckt,3:spikes,Paper,,,,,"Spikes,Vampirism,Empower","Regeneration,Lucky,Mana",,,,2:manat,2:empower,,,,,no,,,,1.1.0,VerySquishyJump,,,
King of the Bling,517,Unique,Skill,,Neutral 1,5,,,,,,35:duplicate,,75:restock,,30:sales,,,,,Paper,no,,,,,,,,,,,,,,,no,,,,1.1.0,Scale,,,
Wisp,495,Godly,Gem,Nature,Ranger,8,,,,"12,5",,,,,,10:luck,10:regen,10:speed,35:maxhealth,30:dam,,,,,,"Regeneration,Lucky",,,2,,1:spikes,,,,,,no,,,,1.1.0,VerySquishyJump,Ghost,,
Forest Dragon,496,Godly,Ranged Weapon,"Nature,Pet,Effect",no,18,0,5,10,2.1,90,,,,,1:regen,1:luck,0.8:dam,10:speed,,,,,,Dragon,"Regeneration,Lucky",,,,,,,,,,,no,,,,1.1.0,SquishyJump,,,
